1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1050,745.0,4.0,0,0,2,1050,352,1,1954.0,1795,1,12150,81.0,335.0,0,5,5,1050,1954,1954,131500
1044,0.0,2.0,3,0,2,540,504,1,1952.0,1044,3,8712,66.0,0.0,0,5,5,540,1952,1952,55993
1276,1336.0,4.0,0,854,0,371,676,2,1998.0,2612,0,12203,98.0,975.0,0,5,8,1225,1998,1999,336000
2196,0.0,3.0,2,485,1,1496,701,0,1990.0,2196,0,14684,90.0,234.0,70,7,7,2158,1990,1991,271900
1125,0.0,2.0,0,0,2,1125,430,1,2007.0,1125,1,8536,74.0,0.0,64,5,5,1125,2006,2007,155000
1181,0.0,3.0,3,920,4,38,588,0,1974.0,1181,1,10012,90.0,0.0,0,5,4,1138,1972,1972,137500
1246,0.0,3.0,0,340,5,0,305,0,1959.0,1246,0,7500,75.0,0.0,0,7,5,1246,1959,1994,154000
1112,438.0,2.0,0,812,0,280,438,2,2007.0,1550,0,8125,65.0,100.0,168,5,7,1092,2006,2007,241000
848,0.0,1.0,3,685,0,163,420,1,2003.0,848,0,4435,69.0,170.0,0,5,6,848,2003,2003,140000
1575,0.0,3.0,0,430,0,1145,529,0,1992.0,1575,0,8012,50.0,0.0,0,5,6,1575,1992,1992,179200
1652,0.0,2.0,0,1572,0,80,840,2,2006.0,1652,2,13173,108.0,300.0,102,5,9,1652,2006,2007,325000
734,0.0,2.0,0,0,2,648,440,1,1990.0,1118,1,4400,40.0,0.0,0,8,6,648,1920,1950,116000
2223,0.0,3.0,1,1880,1,343,516,2,1973.0,2223,1,13651,95.0,1115.0,0,6,7,2223,1973,1973,244000
1728,568.0,3.0,1,1338,0,384,842,0,2008.0,2296,2,13478,97.0,420.0,274,5,10,1722,2008,2008,451950
2097,0.0,1.0,2,1721,2,356,1134,2,2005.0,2097,2,20896,49.0,0.0,267,5,8,2077,2005,2006,423000
835,0.0,2.0,0,108,1,350,366,1,1920.0,835,1,10625,85.0,0.0,0,5,5,458,1920,1950,83000
1136,883.0,3.0,0,0,2,728,532,1,1997.0,2019,0,11414,60.0,0.0,135,8,7,728,1910,1993,167500
774,656.0,3.0,0,0,2,384,400,0,2000.0,1430,1,9967,76.0,0.0,0,5,7,384,2000,2000,170000
1651,0.0,3.0,0,1398,1,0,616,2,1986.0,1651,1,12416,47.0,132.0,0,5,6,1606,1986,1986,184000
900,0.0,3.0,0,450,4,432,280,1,1970.0,900,1,9819,69.0,31.0,0,5,5,882,1967,1967,122000
1689,0.0,3.0,0,0,2,1436,480,1,1956.0,1689,1,9855,73.0,0.0,0,5,6,1436,1956,1956,127500
892,783.0,3.0,0,0,2,841,502,2,1999.0,1675,1,24682,69.0,0.0,103,5,6,841,1999,1999,181000
1535,0.0,4.0,0,0,2,0,410,1,1979.0,1535,1,7018,64.0,0.0,0,5,5,0,1979,1979,118964
1647,0.0,3.0,2,1283,1,0,621,2,1977.0,1647,0,12984,80.0,459.0,0,6,5,1430,1977,1977,217500
1022,0.0,2.0,0,247,2,310,280,1,1956.0,1022,1,7200,60.0,0.0,30,4,5,1022,1910,2006,85000
1826,0.0,3.0,1,1422,0,392,758,1,2005.0,1826,0,11302,69.0,238.0,75,5,8,1814,2005,2006,319000
697,804.0,3.0,0,518,1,179,420,2,1993.0,1501,0,7685,69.0,112.0,63,5,6,697,1993,1994,165600
1298,1216.0,4.0,0,1216,5,0,693,2,1990.0,2514,1,11170,69.0,0.0,0,5,7,1216,1990,1991,250000
912,0.0,2.0,0,312,3,0,288,1,1964.0,912,1,7800,66.0,0.0,0,5,5,912,1964,1964,115000
1040,0.0,3.0,2,532,5,364,484,1,1977.0,1040,0,8800,61.0,0.0,0,7,5,1040,1977,2008,150500
1130,0.0,2.0,0,821,2,299,720,1,1970.0,1130,1,10800,60.0,0.0,0,6,5,1120,1920,1950,120000
1214,0.0,2.0,0,698,1,420,461,1,1965.0,1214,1,9170,70.0,0.0,0,7,5,1214,1965,1965,140000
1138,0.0,3.0,3,507,0,81,264,1,1958.0,1138,1,10482,65.0,63.0,0,8,6,588,1958,1958,145000
1022,1038.0,3.0,0,772,1,220,390,0,1999.0,2060,0,8755,69.0,298.0,0,5,7,992,1999,1999,214000
1167,0.0,3.0,0,645,4,270,495,1,1972.0,1167,1,8731,98.0,0.0,0,5,5,915,1920,1950,144000
1114,0.0,3.0,0,646,0,468,576,1,2004.0,1114,0,13695,66.0,0.0,102,5,5,1114,2004,2004,159000
1136,0.0,3.0,0,892,3,244,384,1,1965.0,1136,1,9200,80.0,0.0,0,6,6,1136,1965,1965,140000
2000,0.0,3.0,0,1464,0,536,888,1,2004.0,2000,0,10386,80.0,246.0,0,5,8,2000,2004,2005,305900
916,0.0,4.0,0,299,1,611,164,1,1915.0,1826,2,2500,50.0,0.0,0,8,7,910,1915,2005,155000
1168,800.0,3.0,3,562,2,29,530,0,1969.0,1968,1,11075,69.0,232.0,189,4,5,784,1969,1969,172000
1584,1208.0,3.0,0,493,5,1017,520,1,1920.0,2792,1,10440,60.0,0.0,547,7,6,1510,1920,1950,256000
912,0.0,2.0,3,773,0,115,470,0,1978.0,912,1,7540,69.0,0.0,0,6,6,888,1978,1978,156000
1505,0.0,2.0,0,1024,2,481,505,0,1953.0,1505,1,12160,128.0,90.0,0,4,6,1505,1953,1953,149500
888,0.0,3.0,0,386,5,342,312,1,1942.0,1644,0,9480,79.0,224.0,0,7,5,728,1942,1995,146500
1121,0.0,2.0,0,0,2,1121,440,0,2003.0,1121,1,8546,80.0,0.0,64,5,4,1121,2003,2004,140000
1040,0.0,3.0,0,906,3,134,384,1,1965.0,1040,1,11200,70.0,0.0,0,5,5,1040,1965,1965,129500
847,886.0,3.0,1,0,2,847,433,2,2003.0,1733,0,12394,69.0,0.0,48,5,7,847,2003,2003,225000
672,546.0,3.0,0,356,4,316,264,1,1973.0,1218,1,1890,21.0,285.0,28,5,6,672,1973,1973,113000
1220,0.0,2.0,0,836,5,0,396,1,1951.0,1220,1,8877,67.0,0.0,0,5,4,836,1951,1951,102000
1097,0.0,3.0,0,0,2,1097,672,1,1995.0,1097,1,10859,112.0,0.0,64,5,5,1097,1994,1995,145000
1196,0.0,2.0,0,616,5,580,297,0,1956.0,1196,1,9000,72.0,74.0,44,5,6,1196,1956,1956,139000
1054,0.0,3.0,0,602,1,14,460,1,1969.0,1054,1,9750,65.0,0.0,0,8,6,1054,1969,1969,151000
1196,0.0,2.0,0,197,5,999,440,1,1957.0,1196,1,4800,40.0,0.0,0,7,4,1196,1916,1990,109900
1652,0.0,2.0,3,1196,0,298,499,0,2000.0,1652,2,5330,41.0,0.0,48,5,8,1494,2000,2000,251000
756,378.0,3.0,0,312,1,444,240,1,1940.0,1134,1,8160,60.0,0.0,0,6,5,756,1940,1950,126000
1279,0.0,3.0,0,641,1,276,473,1,1980.0,1279,1,10125,75.0,0.0,83,6,6,1196,1977,1977,171500
798,842.0,3.0,0,0,2,798,520,0,2004.0,1640,0,8366,65.0,0.0,45,5,6,798,2004,2004,173000
1159,0.0,3.0,0,673,4,378,336,1,1968.0,1159,1,11553,69.0,188.0,0,5,5,1051,1968,1968,158000
1032,220.0,3.0,0,280,4,752,288,1,1950.0,1252,1,9600,80.0,0.0,0,5,6,1032,1950,1950,119000
1302,0.0,3.0,1,270,5,452,309,0,1964.0,1302,0,9350,85.0,108.0,0,7,6,1302,1964,1991,158000
1291,0.0,2.0,2,1003,0,288,431,1,1996.0,1291,0,2887,69.0,0.0,0,5,6,1291,1996,1997,173000
1419,0.0,2.0,3,945,2,474,567,0,2007.0,1419,0,8089,60.0,0.0,0,6,8,1419,2007,2007,392000
1301,0.0,2.0,0,0,2,1293,572,0,2006.0,1301,0,7200,60.0,0.0,121,5,7,1293,2006,2006,187750
1630,0.0,3.0,1,0,2,1622,860,0,2008.0,1630,2,10226,61.0,270.0,42,5,8,1622,2008,2008,295493
1082,0.0,2.0,0,336,4,746,240,1,1948.0,1082,1,11664,60.0,206.0,130,5,6,1082,1948,1950,119200
1360,1360.0,3.0,0,1036,2,140,795,1,1918.0,3112,0,25419,174.0,0.0,16,4,8,1360,1918,1990,235000
796,358.0,3.0,0,735,4,61,240,1,1922.0,1154,0,5436,40.0,0.0,96,8,4,796,1922,2007,125500
974,0.0,3.0,2,212,4,762,0,1,1980.0,974,1,10712,63.0,0.0,28,5,5,974,1991,1992,93500
1344,0.0,3.0,1,1309,0,35,784,2,1997.0,1344,1,7060,78.0,200.0,0,5,7,1344,1997,1998,206300
1200,0.0,4.0,0,0,2,1200,312,1,1923.0,1200,1,11340,84.0,0.0,0,5,6,1200,1923,1950,125000
1478,0.0,2.0,3,578,0,892,484,2,2009.0,1478,0,4403,69.0,432.0,144,5,7,1470,2009,2009,222000
725,754.0,3.0,0,533,0,192,475,0,1976.0,1479,0,13517,69.0,289.0,44,8,6,725,1976,2005,130500
1632,0.0,3.0,0,620,3,0,338,0,1958.0,1632,1,9600,80.0,183.0,0,6,6,1240,1958,1988,139000
887,1134.0,3.0,0,0,2,868,422,0,2006.0,2021,0,23257,168.0,0.0,100,5,7,868,2006,2006,274725
1148,0.0,2.0,2,210,5,219,308,1,1952.0,1148,1,6420,57.0,0.0,0,7,5,980,1952,1952,123500
649,668.0,3.0,0,0,2,649,250,1,1920.0,1317,1,8500,50.0,0.0,54,4,4,649,1920,1950,40000
1844,0.0,2.0,0,976,0,868,620,2,2005.0,1844,0,10994,88.0,366.0,44,5,8,1844,2005,2006,257000
596,596.0,3.0,2,0,2,596,189,1,1920.0,1192,1,6402,60.0,0.0,0,5,5,596,1920,1950,78000
673,709.0,3.0,0,641,0,32,490,1,2000.0,1382,0,2651,69.0,0.0,50,5,7,673,2000,2000,165000
1856,0.0,1.0,3,1445,0,411,834,2,2010.0,1856,2,11394,88.0,350.0,0,2,9,1856,2010,2010,394432
833,833.0,3.0,0,0,2,588,228,1,1925.0,1666,0,5100,69.0,0.0,63,7,8,588,1925,1996,161000
912,1215.0,4.0,2,48,4,422,833,0,1991.0,2127,0,13125,103.0,0.0,192,5,7,1104,1991,1991,238000
1518,1518.0,4.0,2,0,2,1107,840,1,1993.0,3608,2,22950,90.0,0.0,260,9,10,1107,1892,1993,475000
970,0.0,2.0,0,630,0,340,624,1,1996.0,970,1,8480,80.0,0.0,24,6,5,970,1963,1963,132500
1146,0.0,3.0,3,786,0,82,438,1,2003.0,1146,0,9590,73.0,442.0,22,5,7,868,2003,2003,187500
1306,954.0,3.0,1,1201,0,105,533,1,1996.0,2260,0,14000,80.0,0.0,44,5,7,1306,1996,1997,328000
822,843.0,3.0,0,0,2,813,562,0,2007.0,1665,0,8125,65.0,0.0,0,6,7,813,2007,2007,205950
1069,0.0,2.0,0,559,1,510,440,0,1977.0,1069,1,4043,53.0,0.0,55,6,6,1069,1977,1977,140000
1620,0.0,3.0,0,1116,4,165,490,1,1993.0,1620,1,9991,69.0,0.0,78,4,4,1281,1976,1993,150000
1060,764.0,3.0,0,0,2,764,520,1,1940.0,1824,1,13515,60.0,0.0,0,6,6,764,1919,1950,180500
912,0.0,2.0,0,111,4,522,297,2,1958.0,912,1,7535,70.0,0.0,285,7,5,912,1958,1985,120000
968,0.0,2.0,0,0,2,968,480,1,1935.0,968,1,8520,60.0,0.0,0,6,5,968,1923,2006,100000
842,630.0,3.0,2,0,2,702,250,1,1925.0,1472,0,9600,60.0,0.0,0,8,5,702,1925,1994,125000
1694,0.0,3.0,3,0,2,1694,776,1,2008.0,1694,0,10475,64.0,72.0,33,5,8,1694,2008,2008,245350
1090,0.0,2.0,0,980,1,110,450,2,2005.0,1090,1,7024,60.0,0.0,49,5,5,1090,2005,2006,157000
1610,0.0,3.0,2,1200,1,410,480,0,1977.0,1610,0,10603,69.0,28.0,68,7,6,1610,1977,2001,205000
1390,304.0,4.0,0,423,3,758,576,1,1925.0,1694,1,8400,60.0,0.0,0,5,6,1181,1925,1950,136500
616,0.0,2.0,0,616,5,0,205,1,1921.0,616,1,6000,50.0,0.0,0,7,5,616,1921,1950,89000
1555,0.0,2.0,3,16,0,1357,430,2,2005.0,1555,0,3182,43.0,16.0,20,5,7,1373,2005,2006,192500
1288,0.0,1.0,0,786,0,474,500,2,1996.0,1288,2,14963,38.0,0.0,30,5,8,1260,1996,1996,245500
1194,0.0,3.0,0,0,2,1194,312,0,1959.0,1194,1,8760,73.0,220.0,0,6,6,1194,1959,1959,148000
780,596.0,3.0,0,0,2,780,198,1,1937.0,1376,1,8600,50.0,0.0,0,6,6,780,1937,1950,119500
798,546.0,3.0,0,0,2,546,0,1,1980.0,1344,1,1533,21.0,0.0,0,6,4,546,1970,2008,97000
1215,0.0,3.0,0,585,3,630,297,1,1958.0,1215,1,12400,66.0,176.0,0,7,6,1215,1958,1998,155000
912,336.0,2.0,0,324,5,588,160,1,1957.0,1248,1,9439,52.0,0.0,0,5,5,912,1930,1950,87000
1226,0.0,3.0,0,0,2,1226,740,0,2009.0,1226,0,10402,94.0,0.0,36,5,7,1226,2009,2009,198900
1136,1332.0,4.0,3,970,0,166,872,1,2004.0,2468,0,12099,99.0,388.0,154,5,8,1136,2004,2004,354000
884,464.0,3.0,0,0,2,884,216,1,1960.0,1348,1,6000,50.0,0.0,0,8,5,884,1925,1997,117000
1707,0.0,2.0,0,0,2,1686,511,0,1981.0,1707,1,16669,69.0,653.0,64,6,8,1686,1981,1981,228000
1504,0.0,2.0,0,16,0,1330,437,2,2005.0,1504,0,3182,43.0,14.0,20,5,7,1346,2005,2006,191000
1602,0.0,3.0,0,1246,1,356,529,2,1977.0,1602,0,16635,69.0,126.0,0,7,6,1602,1977,2000,215000
858,0.0,2.0,3,685,0,173,576,1,1983.0,858,1,7252,69.0,0.0,0,5,5,858,1982,1982,134900
1163,0.0,3.0,0,256,1,906,220,1,1955.0,1163,1,5820,49.0,0.0,98,8,3,1162,1955,2005,126175
1026,981.0,3.0,3,765,0,252,812,1,2008.0,2007,2,11003,85.0,160.0,52,5,10,1017,2008,2008,310000
1223,904.0,3.0,0,1000,0,223,525,0,1994.0,2127,0,10944,81.0,448.0,132,5,7,1223,1994,1994,271000
1085,649.0,3.0,0,600,3,312,440,1,1962.0,1734,0,9786,77.0,0.0,0,7,6,912,1962,1981,159000
958,0.0,2.0,0,958,5,0,440,0,1976.0,958,1,4928,69.0,0.0,60,6,6,958,1976,1976,143750
927,988.0,3.0,2,789,0,119,506,2,1992.0,1915,0,10041,80.0,0.0,150,5,8,908,1992,1992,220000
1141,0.0,3.0,0,0,2,1141,484,1,2005.0,1141,1,13072,63.0,0.0,0,5,6,1141,2005,2005,142500
1370,0.0,3.0,0,0,2,1090,479,0,1976.0,1370,1,10400,80.0,189.0,0,5,7,1090,1976,1976,152000
1287,0.0,3.0,0,72,1,733,576,2,1997.0,1287,0,9830,69.0,0.0,17,7,5,1063,1959,2006,162000
900,0.0,3.0,3,769,1,95,288,0,1967.0,900,1,7838,68.0,0.0,144,5,5,864,1967,1967,123000
1121,0.0,3.0,0,651,3,470,480,1,1963.0,1121,1,8816,80.0,0.0,80,6,5,1121,1963,1963,139000
728,728.0,3.0,3,648,0,80,410,2,2005.0,1456,0,8199,63.0,0.0,18,5,7,728,2005,2005,189000
1262,0.0,3.0,1,978,1,284,460,0,1976.0,1262,1,9600,80.0,0.0,0,8,6,1262,1976,1976,181500
630,0.0,1.0,3,495,1,135,0,1,1980.0,630,1,1890,21.0,0.0,0,7,4,630,1972,1972,81000
864,0.0,2.0,0,203,3,661,200,1,1938.0,864,1,8212,45.0,0.0,0,3,3,864,1914,1950,58500
848,0.0,1.0,3,659,0,189,420,2,2003.0,848,0,4435,36.0,170.0,0,5,6,848,2003,2003,131500
1719,0.0,1.0,1,1619,0,100,473,2,1993.0,1719,0,10846,32.0,0.0,30,5,8,1719,1993,1993,324000
1272,928.0,4.0,0,1084,1,188,0,1,1980.0,2200,1,8777,67.0,0.0,70,7,5,1272,1900,2003,145900
1072,213.0,2.0,0,336,4,295,240,1,1948.0,1285,1,8635,50.0,0.0,0,5,5,672,1948,2001,127000
983,813.0,4.0,0,400,4,380,483,0,1963.0,1796,1,7056,71.0,415.0,50,5,6,780,1963,1963,140000
1479,0.0,3.0,0,0,2,1468,577,0,1999.0,1479,0,9382,93.0,125.0,25,5,7,1468,1999,2000,191000
1494,0.0,3.0,1,1443,0,39,514,0,1998.0,1494,0,16196,69.0,0.0,25,5,7,1482,1998,1998,215000
1137,817.0,3.0,0,341,4,457,431,1,1939.0,1954,0,15660,69.0,312.0,119,9,7,798,1939,2006,311500
964,925.0,4.0,0,0,2,925,308,1,1960.0,1889,1,10120,60.0,0.0,0,4,7,925,1910,1950,122000
1622,0.0,3.0,3,1159,4,90,1356,2,1975.0,1622,1,32463,69.0,149.0,0,4,4,1249,1961,1975,168000
899,0.0,3.0,0,450,1,414,288,2,1967.0,899,0,7800,65.0,89.0,0,7,5,864,1967,2004,130000
1074,0.0,3.0,0,788,1,268,495,0,1975.0,1074,1,10140,78.0,0.0,88,6,5,1056,1975,1975,153500
948,742.0,3.0,0,0,2,924,463,0,2000.0,1690,1,8063,69.0,0.0,48,5,6,924,2000,2000,181000
630,0.0,1.0,3,553,0,77,0,1,1980.0,630,2,1533,21.0,0.0,0,7,5,630,1970,1970,92000
948,0.0,3.0,0,732,3,216,280,1,1956.0,948,1,8190,60.0,0.0,36,6,4,948,1954,1954,119000
1663,0.0,2.0,1,1116,4,248,529,1,1954.0,1663,0,53227,69.0,0.0,137,6,4,1364,1954,1994,256000
738,0.0,3.0,0,193,0,545,540,2,2005.0,1476,0,8633,64.0,0.0,35,5,6,738,2005,2005,173500
1061,862.0,3.0,0,674,0,76,564,0,1992.0,1923,0,10186,107.0,0.0,39,5,7,750,1992,1992,190000
2069,0.0,4.0,1,425,0,160,505,0,1960.0,2069,0,27650,313.0,0.0,0,7,7,585,1960,2007,242000
1500,0.0,3.0,3,1070,0,286,648,2,2006.0,1500,0,4045,53.0,45.0,20,5,7,1356,2006,2006,246578
913,0.0,3.0,1,187,5,0,240,1,1990.0,913,1,8400,70.0,0.0,0,5,6,814,1966,1966,129000
1152,0.0,3.0,3,1014,0,138,484,0,1964.0,1152,1,14112,69.0,86.0,0,7,5,1152,1964,1964,180500
1437,0.0,3.0,1,1157,1,280,528,0,1976.0,1437,0,10768,90.0,0.0,21,8,5,1437,1976,2004,218000
972,605.0,3.0,0,0,2,972,312,1,1939.0,1577,3,6435,65.0,0.0,0,5,6,972,1939,1950,140200
1391,571.0,3.0,2,464,0,927,868,0,2006.0,1962,0,8760,73.0,0.0,90,5,7,1391,2006,2006,239799
769,804.0,3.0,0,378,0,378,440,1,2000.0,1573,0,2117,69.0,216.0,32,5,6,756,2000,2000,177500
1684,0.0,2.0,0,28,0,1656,564,0,2005.0,1684,2,8849,63.0,616.0,72,5,9,1684,2005,2005,266000
979,979.0,4.0,0,484,3,495,492,1,1946.0,1958,1,7136,82.0,423.0,0,6,6,979,1946,1950,145000
2411,2065.0,4.0,3,2096,0,300,813,2,1996.0,4476,2,15623,160.0,0.0,78,5,10,2396,1996,1996,745000
962,830.0,3.0,0,0,2,936,451,2,2000.0,1792,1,10261,93.0,318.0,0,5,6,936,2000,2000,186500
1134,0.0,2.0,0,588,2,422,254,1,1960.0,1134,1,7000,70.0,45.0,16,7,5,1010,1960,2002,135000
1154,0.0,3.0,2,740,4,184,480,0,1966.0,1154,1,11000,69.0,200.0,58,6,5,1154,1966,1966,154000
525,0.0,3.0,0,0,2,525,264,1,1971.0,1092,1,1680,21.0,381.0,0,5,6,525,1971,1971,88000
725,754.0,4.0,0,626,1,99,484,2,1972.0,1479,0,7472,69.0,138.0,32,9,7,725,1972,2004,184000
802,670.0,3.0,0,0,2,384,402,0,1991.0,1472,0,10784,69.0,76.0,0,5,7,384,1991,1992,160000
1166,0.0,2.0,1,655,0,201,400,2,2005.0,1166,0,9587,59.0,182.0,0,5,7,856,2005,2005,190000
1620,0.0,2.0,1,1022,0,598,912,2,2008.0,1620,2,12898,89.0,70.0,0,5,9,1620,2007,2008,315500
865,445.0,2.0,0,617,5,0,398,1,1924.0,1310,1,7000,50.0,0.0,0,6,6,617,1924,1950,112000
1700,0.0,3.0,3,340,0,1342,544,0,2003.0,1700,0,9135,70.0,120.0,23,5,6,1682,2003,2003,200000
1392,0.0,3.0,0,1302,2,90,528,1,1957.0,1392,1,11341,69.0,180.0,0,6,5,1392,1957,1996,121500
1800,0.0,3.0,1,1274,0,526,765,2,2002.0,1800,0,14331,85.0,630.0,78,5,8,1800,2002,2002,312500
1067,0.0,2.0,0,442,4,625,436,1,1996.0,1067,0,9600,60.0,0.0,0,7,4,1067,1950,1995,128000
1073,0.0,3.0,0,836,1,237,515,0,1965.0,1073,1,10289,79.0,168.0,0,7,5,1073,1965,1965,156000
832,650.0,3.0,0,624,1,26,324,1,1930.0,1482,1,9000,50.0,0.0,0,9,7,650,1920,1988,143000
1062,887.0,3.0,0,750,0,300,574,2,1993.0,1949,0,9938,80.0,246.0,90,5,7,1050,1993,1994,236000
961,0.0,3.0,0,216,1,540,642,1,1998.0,1717,0,9550,60.0,0.0,35,5,7,756,1915,1970,140000
605,0.0,2.0,2,348,2,180,0,1,1980.0,605,1,9098,58.0,0.0,0,7,4,528,1920,2002,86000
1238,1281.0,4.0,1,965,0,245,628,0,1989.0,2519,0,26178,42.0,293.0,27,5,7,1210,1989,1990,335000
572,524.0,2.0,0,0,2,572,0,1,1980.0,1096,1,9600,60.0,0.0,8,5,6,572,1924,1950,79000
997,0.0,3.0,0,0,2,793,0,1,1980.0,1517,3,8500,85.0,0.0,0,7,5,793,1919,2005,115000
1032,0.0,3.0,3,605,1,427,564,1,1978.0,1032,1,10395,69.0,233.0,0,6,6,1032,1978,1978,148000
