1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
810,0.0,3.0,0,387,1,374,484,0,1992.0,1603,0,7153,65.0,0.0,124,5,6,761,1992,1992,175900
1867,0.0,2.0,0,379,5,470,303,2,1955.0,1867,1,10708,69.0,0.0,0,5,5,1617,1955,1993,190000
958,0.0,2.0,2,498,4,460,301,0,1960.0,958,1,12772,69.0,0.0,0,8,6,958,1960,1998,151500
1126,0.0,3.0,0,936,1,190,484,0,1977.0,1126,1,17400,80.0,0.0,41,5,5,1126,1977,1977,160000
1314,0.0,3.0,0,922,3,392,294,0,1957.0,1314,1,8400,70.0,0.0,0,6,5,1314,1957,1957,145000
1057,872.0,3.0,0,738,2,319,650,2,2001.0,1929,0,7050,69.0,0.0,235,5,7,1057,2001,2001,226000
779,0.0,2.0,0,0,2,742,308,1,1988.0,935,1,9100,50.0,0.0,0,6,5,742,1930,1960,79500
1518,631.0,1.0,0,1351,0,83,670,0,2003.0,2149,0,12822,48.0,0.0,43,5,7,1434,2003,2003,239686
896,896.0,4.0,0,0,2,896,0,1,1980.0,1792,1,9000,60.0,0.0,45,5,5,896,1974,1974,136000
1165,0.0,4.0,0,0,2,1141,420,2,1998.0,2263,0,12090,93.0,650.0,123,5,8,1141,1998,1998,258000
1010,1257.0,4.0,0,0,2,1010,390,0,2002.0,2267,0,8068,69.0,0.0,46,5,6,1010,2002,2002,200000
684,876.0,3.0,3,0,2,684,400,2,2005.0,1560,0,11911,122.0,0.0,38,5,6,684,2005,2005,174000
1222,698.0,4.0,0,0,2,570,487,0,1968.0,1920,0,10192,102.0,143.0,98,6,7,570,1968,1992,170000
990,1611.0,4.0,0,0,2,612,621,0,1998.0,2601,1,9842,51.0,0.0,0,6,5,612,1921,1998,189000
694,0.0,3.0,0,365,5,75,352,1,1990.0,694,0,4280,40.0,0.0,0,6,5,440,1913,2002,90350
1228,0.0,2.0,2,767,0,461,472,2,1988.0,1228,0,4671,40.0,0.0,120,5,8,1228,1988,1989,189000
784,0.0,2.0,0,0,2,784,360,1,1950.0,784,1,9000,60.0,0.0,0,3,6,784,1928,1950,76000
2515,0.0,4.0,0,1219,3,816,484,1,1975.0,2515,1,32668,69.0,0.0,0,3,6,2035,1957,1975,200624
765,600.0,2.0,0,471,1,294,440,1,1971.0,1365,1,1920,24.0,376.0,36,5,5,765,1971,1971,122500
804,670.0,3.0,0,0,2,384,400,2,1995.0,1474,1,8530,69.0,22.0,72,5,7,384,1995,1996,168500
1905,0.0,3.0,0,0,2,1905,788,2,2006.0,1905,2,11670,84.0,302.0,191,5,9,1905,2006,2006,320000
612,612.0,3.0,3,0,2,612,528,0,2009.0,1224,0,3951,40.0,76.0,234,5,6,612,2009,2009,164500
1224,0.0,2.0,0,0,2,0,462,1,1962.0,1224,1,9842,70.0,0.0,0,5,4,0,1962,1962,101800
1164,0.0,3.0,0,0,2,1164,528,1,1969.0,1164,1,9600,80.0,168.0,0,5,7,1164,1969,1969,140000
1752,0.0,2.0,0,456,0,1296,576,0,2005.0,1752,2,7658,61.0,412.0,82,5,9,1752,2005,2005,319900
1696,0.0,3.0,0,0,2,1140,349,1,1962.0,1696,1,13673,40.0,0.0,30,5,5,1140,1962,1962,143900
1001,1001.0,3.0,0,284,4,717,871,1,1949.0,2002,1,6270,82.0,0.0,0,6,5,1001,1949,1950,145000
1742,0.0,2.0,1,1148,0,594,564,0,1985.0,1742,0,6563,69.0,0.0,28,5,8,1742,1985,1985,275000
676,455.0,3.0,0,0,2,676,200,1,1941.0,1131,1,5720,52.0,0.0,0,6,5,676,1941,1950,66500
1686,762.0,4.0,0,1361,0,88,711,0,1994.0,2448,0,46589,52.0,528.0,76,7,8,1629,1994,2005,402000
932,920.0,3.0,0,822,0,78,644,0,2009.0,1852,0,8640,72.0,0.0,108,5,7,900,2009,2009,252678
1640,0.0,3.0,0,728,4,568,924,1,1993.0,1640,0,14778,69.0,72.0,0,7,6,1296,1954,2006,224000
999,0.0,3.0,3,867,1,77,588,0,1961.0,999,2,12122,69.0,210.0,76,9,7,944,1961,2007,178400
792,0.0,2.0,0,0,2,768,240,1,1924.0,792,0,9022,52.0,0.0,0,8,5,768,1924,2006,109500
1478,0.0,3.0,0,1270,4,208,498,1,1960.0,1478,1,17600,69.0,30.0,40,5,6,1478,1960,1960,157500
1746,0.0,3.0,1,1320,0,426,758,2,2006.0,1746,2,14892,42.0,160.0,39,5,9,1746,2006,2007,377500
1656,0.0,3.0,3,24,0,1632,826,1,2006.0,1656,0,11096,84.0,0.0,146,5,8,1656,2006,2006,249700
1268,1097.0,3.0,2,1163,0,89,856,1,1999.0,2365,0,9430,82.0,673.0,128,5,8,1252,1999,1999,337000
1214,0.0,3.0,0,695,4,519,318,0,1967.0,1214,1,10355,69.0,196.0,111,5,5,1214,1967,1967,143000
1258,0.0,2.0,3,0,2,1258,648,2,2007.0,1258,0,3922,53.0,72.0,16,5,7,1258,2006,2007,172500
1003,0.0,3.0,3,819,0,184,588,1,1984.0,1003,1,7937,37.0,0.0,0,6,6,1003,1984,1984,142500
1560,0.0,3.0,0,0,2,1560,573,2,2003.0,1560,0,9196,129.0,0.0,150,5,7,1560,2003,2003,201000
773,0.0,2.0,0,570,2,203,240,1,1953.0,773,1,7677,57.0,0.0,0,5,5,773,1953,1953,110000
943,933.0,4.0,0,442,1,459,540,0,1974.0,1876,0,9120,76.0,270.0,69,6,6,901,1974,1974,185000
2046,0.0,3.0,2,0,2,2046,834,2,2008.0,2046,0,11844,80.0,464.0,82,5,8,2046,2008,2008,372500
796,566.0,1.0,0,732,0,64,480,1,1993.0,1362,1,14115,85.0,0.0,30,5,5,796,1993,1995,143000
1718,0.0,3.0,1,1172,0,528,786,2,2008.0,1718,2,12456,96.0,230.0,48,5,10,1700,2006,2007,337500
1067,472.0,3.0,0,0,2,927,576,1,1995.0,1539,1,6120,51.0,0.0,0,6,5,927,1936,1950,141500
894,0.0,2.0,0,0,2,894,1248,0,1994.0,894,1,18000,120.0,0.0,20,4,3,894,1935,1950,81000
1092,0.0,2.0,0,895,3,197,299,2,1957.0,1092,1,14850,69.0,0.0,0,5,5,1092,1957,1957,141000
1212,0.0,3.0,2,36,0,1176,460,0,2009.0,1212,0,10420,83.0,0.0,22,5,6,1212,2009,2009,186000
998,764.0,4.0,0,0,2,596,576,1,1989.0,1762,0,7200,60.0,0.0,0,7,7,596,1920,1950,157000
958,0.0,2.0,0,120,1,958,440,0,1977.0,958,1,4928,69.0,0.0,205,5,6,1078,1976,1976,128000
936,316.0,3.0,0,0,2,504,576,1,1986.0,1252,1,7438,92.0,0.0,0,8,5,504,1908,1991,127000
1502,0.0,1.0,3,368,0,0,528,0,1985.0,1502,0,6820,69.0,0.0,54,5,8,1488,1985,1985,212000
864,0.0,3.0,0,375,2,250,660,1,1989.0,864,0,6960,60.0,0.0,0,6,4,864,1970,1970,120500
832,809.0,3.0,0,16,5,712,546,1,1925.0,1641,2,9600,60.0,0.0,0,7,7,728,1925,1990,178000
1050,0.0,2.0,0,504,3,546,338,1,1956.0,1050,1,9600,80.0,0.0,0,6,5,1050,1956,1956,128900
1422,0.0,3.0,0,588,2,606,576,2,1981.0,1422,0,12090,78.0,210.0,0,6,6,1422,1981,1981,175500
977,755.0,3.0,0,0,2,741,476,2,1985.0,1732,0,9206,77.0,336.0,46,5,6,741,1985,1985,178000
1944,0.0,3.0,1,1274,2,622,708,2,2003.0,1944,2,12378,90.0,0.0,175,5,9,1896,2003,2004,360000
1140,728.0,3.0,0,0,2,585,477,2,1984.0,1868,1,12090,78.0,74.0,112,7,6,585,1984,2003,178000
679,504.0,2.0,0,331,1,318,308,1,1981.0,1183,1,6000,50.0,0.0,176,7,3,649,1948,2002,120000
912,0.0,2.0,0,737,1,175,352,1,1962.0,912,1,12968,69.0,0.0,0,6,5,912,1962,1962,144000
1110,0.0,3.0,3,1097,0,0,602,2,1978.0,1110,0,9101,69.0,104.0,30,6,5,1097,1978,1978,165500
1320,0.0,3.0,3,328,5,285,564,1,1966.0,1320,1,11777,96.0,97.0,68,6,5,1164,1966,1966,164500
1454,482.0,3.0,0,0,2,1406,504,0,2000.0,1936,0,11194,106.0,40.0,124,5,8,1406,2000,2000,230500
954,0.0,2.0,0,0,2,920,240,1,1938.0,954,3,6305,50.0,0.0,0,7,5,920,1938,1950,119750
864,0.0,3.0,0,521,4,169,624,1,1964.0,864,1,9100,70.0,0.0,0,5,5,864,1958,1958,129900
789,0.0,2.0,0,0,2,768,200,1,1926.0,789,1,10594,55.0,0.0,0,5,5,768,1926,1950,96500
1178,1032.0,5.0,2,0,2,1008,205,1,1930.0,2210,3,9900,90.0,0.0,48,4,6,1008,1880,1950,117500
1553,1177.0,4.0,1,28,5,0,576,1,1987.0,2730,0,10380,86.0,172.0,96,5,7,1502,1986,1987,301000
1680,0.0,3.0,0,144,5,379,583,2,1998.0,1680,0,10140,78.0,0.0,73,5,7,1650,1998,1999,213250
1099,0.0,3.0,0,0,2,1099,352,1,1999.0,1099,0,9525,75.0,0.0,0,6,5,1099,1995,2006,144000
1507,0.0,4.0,0,666,1,409,404,1,1960.0,1507,1,7910,70.0,0.0,0,5,5,1075,1960,1960,127000
661,589.0,3.0,0,0,2,661,552,1,1985.0,1250,1,5362,53.0,0.0,0,6,5,661,1910,2003,139000
960,0.0,3.0,3,789,1,171,576,1,1970.0,960,1,9873,60.0,160.0,288,5,4,960,1970,1970,129000
672,714.0,3.0,2,438,3,234,440,2,1978.0,1386,1,11616,69.0,328.0,0,5,6,672,1978,1978,158900
2158,0.0,4.0,3,477,1,725,576,1,1950.0,2158,0,12615,84.0,0.0,29,7,6,1202,1950,2001,243000
1113,0.0,3.0,0,751,4,392,504,0,1987.0,1113,1,7917,69.0,174.0,30,7,6,1143,1976,1976,148000
1614,0.0,3.0,3,20,0,1594,865,0,2005.0,1614,0,11210,86.0,240.0,59,5,7,1614,2005,2006,221500
576,533.0,3.0,3,349,1,23,288,1,1971.0,1109,1,10500,70.0,82.0,0,7,5,372,1971,2005,139000
1521,0.0,3.0,0,0,2,1237,880,1,1988.0,2775,0,13500,75.0,0.0,502,9,10,1237,1893,2000,325000
997,1288.0,4.0,0,0,2,969,648,2,2000.0,2285,0,11000,69.0,72.0,56,5,8,969,2000,2000,248000
1357,0.0,2.0,3,719,1,300,312,0,1959.0,1357,2,11512,124.0,84.0,0,7,6,1019,1959,2006,177000
955,0.0,3.0,0,0,2,935,462,2,1998.0,1632,1,9084,63.0,0.0,28,5,7,935,1998,1998,176500
990,0.0,3.0,0,686,0,304,672,1,1996.0,990,1,9245,57.0,0.0,0,5,5,990,1994,1995,145000
768,432.0,3.0,0,352,4,416,240,1,1946.0,1200,1,11767,70.0,0.0,0,6,5,768,1946,1995,130500
866,0.0,2.0,0,329,1,357,0,1,1980.0,866,0,3880,40.0,0.0,42,9,5,686,1945,1997,110500
1372,1274.0,3.0,1,987,0,360,656,0,1993.0,2646,0,9900,90.0,256.0,60,5,7,1347,1993,1993,260000
864,0.0,3.0,0,553,3,0,360,1,1965.0,864,1,8281,60.0,0.0,0,5,5,864,1965,1965,62383
1646,0.0,2.0,1,1373,0,221,482,2,2004.0,1646,0,3842,44.0,174.0,53,5,8,1594,2004,2005,275000
1389,0.0,2.0,3,1071,1,195,418,0,1975.0,1389,1,10010,77.0,0.0,38,5,5,1389,1974,1975,170000
1152,0.0,3.0,0,0,2,1092,300,1,1950.0,1152,0,14000,80.0,0.0,36,8,6,1092,1950,2004,158500
864,0.0,3.0,0,600,4,264,576,1,1980.0,864,1,12735,69.0,0.0,0,5,4,864,1972,1972,111250
1068,0.0,3.0,0,663,0,396,264,0,1963.0,1068,1,8414,70.0,0.0,0,8,6,1059,1963,2003,154500
1188,0.0,3.0,0,593,2,595,312,1,1962.0,1188,1,26142,69.0,189.0,39,7,5,1188,1962,1962,157900
882,0.0,1.0,0,0,2,882,0,1,1980.0,882,1,5500,55.0,0.0,0,6,4,882,1956,1956,103200
864,0.0,3.0,3,460,4,404,338,1,1972.0,864,1,15523,36.0,0.0,0,6,5,864,1972,1972,133500
1742,590.0,3.0,3,1280,0,402,846,2,2008.0,2332,2,12474,96.0,272.0,134,5,10,1682,2007,2008,426000
872,0.0,3.0,0,0,2,858,480,1,1974.0,872,1,8294,70.0,0.0,0,5,4,858,1971,1971,123000
1002,0.0,3.0,0,828,4,174,902,1,1973.0,1002,1,8750,69.0,76.0,0,6,5,1002,1970,1970,148500
1318,584.0,4.0,0,0,2,0,539,1,1978.0,1902,1,8930,68.0,0.0,0,5,6,0,1978,1978,112000
938,0.0,3.0,3,280,5,167,308,1,1977.0,938,1,9200,69.0,0.0,0,6,5,938,1975,1980,130250
1392,0.0,2.0,0,0,2,1392,576,0,1968.0,1392,1,13560,120.0,216.0,0,3,6,1392,1968,1968,110000
1088,780.0,4.0,0,381,1,399,484,1,1976.0,1868,0,10304,69.0,44.0,96,7,5,780,1976,1976,197500
1224,0.0,2.0,0,883,0,341,402,2,1999.0,1224,1,4500,69.0,425.0,304,5,6,1224,1999,1999,165000
1251,0.0,3.0,0,553,2,698,461,1,1964.0,1251,1,8800,80.0,425.0,116,6,6,1251,1964,1964,160000
483,504.0,2.0,0,309,4,174,264,1,1973.0,987,1,1953,21.0,408.0,0,5,6,483,1973,1973,83000
1113,0.0,3.0,0,607,1,506,264,1,1950.0,1113,0,9600,80.0,0.0,80,7,5,1113,1950,2007,147000
1836,0.0,3.0,0,24,0,1836,484,2,2004.0,1836,0,9100,70.0,0.0,33,5,7,1860,2004,2005,216837
1120,1120.0,6.0,0,0,2,0,528,1,1979.0,2240,1,7018,64.0,0.0,0,5,5,0,1979,1979,142953
1077,0.0,3.0,0,0,2,1007,210,1,1922.0,1077,1,9786,60.0,0.0,100,4,3,1007,1922,1950,91000
1571,0.0,3.0,1,0,2,1571,722,2,2007.0,1571,0,10991,89.0,80.0,36,5,8,1571,2007,2007,239000
810,855.0,3.0,0,643,0,167,528,2,2001.0,1665,0,8400,70.0,0.0,45,6,8,810,2001,2001,227000
910,648.0,4.0,0,420,4,490,282,1,1950.0,1558,1,13710,75.0,0.0,0,5,5,910,1950,1950,152000
840,880.0,3.0,0,0,2,840,440,2,2004.0,1720,0,8244,62.0,0.0,48,5,7,840,2004,2004,183500
864,0.0,2.0,0,524,1,160,576,1,1989.0,864,1,10500,70.0,0.0,0,6,4,864,1971,1971,97000
1428,0.0,3.0,0,0,2,1417,554,0,2008.0,1428,2,12274,91.0,256.0,60,5,7,1417,2008,2008,227680
840,828.0,3.0,0,0,2,840,500,0,2003.0,1668,0,11317,72.0,101.0,68,5,7,840,2003,2003,180000
1844,0.0,3.0,0,705,4,1139,546,0,1977.0,1844,1,11751,105.0,480.0,122,6,6,1844,1977,1977,190000
1120,850.0,3.0,2,0,2,1085,753,2,2006.0,1970,2,11065,86.0,788.0,74,5,8,1085,2006,2006,281000
1208,0.0,3.0,0,767,1,441,546,0,1977.0,1208,1,11250,69.0,0.0,42,6,6,1208,1977,1977,165000
1172,741.0,3.0,0,0,2,896,342,1,1929.0,1913,1,7558,57.0,0.0,0,6,6,896,1928,1950,177000
1220,870.0,3.0,0,1079,0,141,556,0,1995.0,2090,0,10000,80.0,438.0,65,5,8,1220,1995,1996,240000
1149,467.0,3.0,2,370,5,779,216,1,1926.0,1616,0,5400,40.0,0.0,0,7,6,1149,1926,2004,152000
1104,684.0,5.0,3,0,2,1104,304,1,1957.0,1788,1,11250,69.0,0.0,0,5,4,1104,1957,1989,161500
2076,0.0,2.0,1,1386,0,690,850,1,2006.0,2076,2,13891,107.0,0.0,229,5,10,2076,2006,2006,465000
1100,0.0,3.0,0,419,1,375,312,0,1960.0,1100,1,12493,69.0,0.0,0,5,4,1100,1960,1960,141000
1143,1330.0,4.0,3,0,2,1143,852,1,2004.0,2473,0,9591,76.0,344.0,151,5,8,1143,2004,2005,317000
1453,0.0,3.0,1,1082,0,371,445,0,1986.0,1453,0,5271,69.0,0.0,80,5,7,1453,1986,1986,190000
1080,0.0,3.0,0,336,1,748,484,1,1983.0,1080,1,9187,71.0,0.0,0,5,6,1084,1983,1983,134000
925,550.0,4.0,0,548,1,36,336,0,1977.0,1475,1,2665,41.0,0.0,26,6,5,757,1977,1977,127000
1844,0.0,3.0,3,1110,3,734,540,0,1969.0,1844,0,16381,69.0,312.0,73,5,6,1844,1969,1969,223000
1504,0.0,1.0,0,16,0,1330,457,2,2005.0,1504,0,3182,43.0,16.0,0,5,7,1346,2005,2006,181000
1601,0.0,3.0,3,1358,0,223,670,0,2001.0,1601,0,11423,69.0,479.0,0,5,8,1581,2001,2002,272000
885,833.0,3.0,0,0,2,832,427,2,1998.0,1718,1,10141,74.0,40.0,94,5,7,832,1998,1998,185000
1493,0.0,3.0,1,994,0,484,508,2,1997.0,1493,0,13125,75.0,215.0,39,5,6,1478,1997,1998,208900
959,408.0,3.0,0,425,5,459,560,1,1978.0,1367,1,6240,52.0,0.0,0,6,6,884,1931,1950,127500
1080,0.0,3.0,0,680,0,400,0,1,1980.0,1080,0,7500,63.0,120.0,0,5,7,1080,2004,2005,141000
954,795.0,5.0,0,0,2,795,440,1,1997.0,2230,1,6204,60.0,0.0,188,5,4,795,1912,1950,118500
855,0.0,3.0,0,566,1,289,440,1,1976.0,1456,1,2280,24.0,0.0,0,6,6,855,1976,1976,148500
729,729.0,2.0,0,419,0,310,440,1,1999.0,1458,1,3230,34.0,1129.0,32,5,6,729,1999,1999,176000
2073,0.0,3.0,0,790,1,589,500,1,1978.0,2073,1,13175,85.0,119.0,0,6,6,1542,1978,1988,210000
1701,0.0,3.0,1,1390,1,0,611,2,1975.0,1701,1,16647,69.0,0.0,0,5,5,1390,1975,1981,171000
624,628.0,2.0,0,510,4,90,462,1,1999.0,1252,0,2160,24.0,212.0,48,5,7,600,1999,2000,160000
1078,0.0,2.0,2,49,2,0,240,1,1950.0,1078,0,9717,68.0,0.0,0,6,5,1078,1950,1996,142125
972,0.0,2.0,0,680,1,292,240,1,1948.0,972,1,8000,50.0,0.0,0,6,6,972,1948,2002,132000
1304,983.0,3.0,0,603,4,701,667,2,1953.0,2287,1,15593,81.0,0.0,21,4,7,1304,1953,1953,225000
1178,0.0,3.0,0,1084,4,92,439,1,1973.0,1178,0,10000,80.0,0.0,0,6,5,1176,1973,2000,157000
660,688.0,3.0,0,512,4,148,453,0,1966.0,1348,1,7590,69.0,266.0,108,5,6,660,1966,1966,155000
1383,0.0,3.0,2,1064,4,319,354,1,1954.0,1383,1,13284,69.0,0.0,116,5,5,1383,1954,1954,165000
1694,0.0,3.0,3,1369,0,317,636,0,2004.0,1694,0,10084,75.0,186.0,57,5,8,1686,2004,2005,307000
526,462.0,2.0,1,462,0,0,297,1,1973.0,988,1,1596,21.0,0.0,101,5,4,462,1973,1973,91000
820,527.0,3.0,1,969,0,148,0,1,1980.0,1347,1,7000,70.0,0.0,0,7,5,1117,1910,1991,107500
975,975.0,3.0,0,649,2,326,576,0,1997.0,1950,0,7399,66.0,1600.0,10,5,7,975,1997,1998,239000
1055,1208.0,3.0,0,0,2,1055,905,2,2001.0,2263,0,9240,69.0,396.0,45,5,8,1055,2001,2002,287000
938,1215.0,4.0,0,259,5,425,0,1,1980.0,2358,1,5250,50.0,0.0,54,5,8,684,1872,1987,122000
1128,0.0,3.0,2,776,1,344,525,0,1963.0,1128,1,8700,80.0,148.0,20,6,5,1120,1963,1963,155000
728,728.0,3.0,0,0,2,728,390,2,2005.0,1456,0,8461,65.0,0.0,24,5,6,728,2005,2006,163990
936,0.0,2.0,1,936,0,0,672,1,1980.0,936,1,7200,60.0,180.0,0,5,5,936,1980,1980,140000
720,0.0,2.0,0,0,2,624,484,1,2005.0,720,1,8520,60.0,0.0,0,8,6,624,1928,2003,105900
1344,0.0,3.0,0,111,0,354,525,0,1958.0,1344,0,14375,69.0,541.0,118,6,6,819,1958,1958,137500
1362,0.0,3.0,0,288,1,700,504,1,1961.0,1362,1,10197,80.0,491.0,20,5,6,1362,1961,1961,163000
1704,0.0,3.0,0,1218,0,486,772,1,2008.0,1704,0,11478,98.0,200.0,50,5,8,1704,2007,2008,306000
1689,0.0,3.0,0,1218,0,350,857,0,2002.0,1689,0,13265,69.0,148.0,59,5,8,1568,2002,2002,271000
1253,0.0,3.0,0,0,2,1237,402,2,1995.0,1253,1,7875,63.0,38.0,21,5,7,1237,1995,1996,176000
2020,0.0,4.0,0,0,2,0,630,1,1977.0,2020,1,8400,60.0,320.0,0,5,5,0,1977,1977,144000
768,0.0,2.0,3,656,0,112,396,1,1988.0,768,1,8445,70.0,0.0,0,7,5,768,1972,2007,133000
1600,0.0,3.0,0,0,2,1566,890,0,2007.0,1600,0,14230,110.0,640.0,56,5,8,1566,2007,2007,256300
1004,0.0,3.0,0,399,1,605,420,1,1950.0,1664,1,5000,50.0,0.0,24,7,6,1004,1947,1950,159000
760,896.0,3.0,0,0,2,746,397,2,2003.0,1656,0,6931,60.0,92.0,128,5,7,746,2003,2004,165400
1024,940.0,4.0,3,0,2,940,0,1,1980.0,1964,1,8525,55.0,0.0,192,6,5,940,1911,1950,130000
814,860.0,3.0,0,533,0,281,663,0,2000.0,1674,0,7500,69.0,0.0,96,5,7,814,2000,2000,216000
1414,0.0,2.0,0,0,2,1375,398,2,2004.0,1414,0,3072,69.0,18.0,20,5,7,1375,2004,2004,178740
1350,0.0,3.0,0,0,2,1064,478,0,1974.0,1350,1,10140,78.0,174.0,0,5,6,1064,1974,1974,165000
1363,0.0,2.0,1,226,5,96,439,1,1954.0,1363,1,39104,73.0,0.0,0,7,7,1385,1954,2005,241500
2018,0.0,3.0,1,0,2,2002,746,2,2009.0,2018,2,13214,89.0,0.0,76,5,9,2002,2008,2009,378500
1429,0.0,3.0,0,594,4,331,572,1,1960.0,1429,0,14585,69.0,85.0,110,6,6,1144,1960,1987,181900
1225,0.0,3.0,0,569,1,381,0,1,1980.0,1225,1,9320,77.0,0.0,0,5,4,950,1959,1959,128950
1766,0.0,3.0,2,1121,0,645,478,2,2009.0,1766,2,9187,85.0,162.0,130,5,9,1766,2009,2009,370878
1216,0.0,2.0,0,897,0,319,402,1,1998.0,1216,1,4500,32.0,116.0,125,5,6,1216,1998,1998,164000
1484,0.0,3.0,3,998,1,486,487,1,1971.0,1484,1,12243,70.0,0.0,0,6,5,1484,1971,1971,175000
716,716.0,3.0,0,425,2,291,432,2,2004.0,1432,0,7795,71.0,0.0,51,5,7,716,2004,2005,188500
2633,0.0,2.0,1,1282,0,1351,804,0,2001.0,2633,2,11400,69.0,705.0,140,5,10,2633,2001,2002,466500
1698,0.0,3.0,0,1234,0,464,768,1,2007.0,1698,2,13286,86.0,340.0,64,5,9,1698,2007,2008,320000
1297,0.0,3.0,0,1213,3,84,498,2,1954.0,1297,1,8532,74.0,650.0,0,6,5,1297,1954,1990,153000
755,755.0,4.0,2,0,2,755,296,1,1940.0,1510,1,9084,60.0,0.0,0,5,4,755,1940,1950,108000
1617,0.0,2.0,0,165,5,598,533,1,1993.0,1617,0,8012,50.0,0.0,69,5,6,1604,1993,1994,193000
1610,551.0,3.0,0,1288,0,294,789,2,2007.0,2161,2,10562,86.0,300.0,120,5,8,1582,2007,2007,325624
1013,0.0,2.0,0,0,2,1013,0,1,1980.0,1526,3,8470,105.0,0.0,0,2,3,1013,1915,1982,85000
1712,0.0,4.0,0,528,5,1098,588,2,2005.0,1712,1,8393,70.0,122.0,54,5,5,1626,1959,2005,145000
572,539.0,2.0,0,0,2,572,288,1,1982.0,1111,1,5700,69.0,0.0,0,7,7,572,1926,1950,116900
1039,0.0,3.0,2,841,4,198,504,1,1965.0,1039,1,11625,75.0,0.0,0,4,5,1039,1965,1965,131500
